id,propertiy,default,activated in,value in,category,zero-index-base_id,binary_representation
1,DUK_USE_ALLOW_UNDEFINED_BEHAVIOR,FALSE,low_memory.yaml,TRUE,Platform and portability options,0,0
2,DUK_USE_FATAL_MAXLEN,128,low_memory.yaml,64,Platform and portability options,1,1
3,DUK_USE_EXEC_PREFER_SIZE,FALSE,low_memory.yaml,TRUE,low Memory management options,2,0
4,DUK_USE_LEXER_SLIDING_WINDOW,TRUE,low_memory.yaml,FALSE,low Memory management options,3,1
5,DUK_USE_LIGHTFUNC_BUILTINS,FALSE,low_memory.yaml,TRUE,low Memory management options,4,0
6,DUK_USE_PREFER_SIZE,FALSE,low_memory.yaml,TRUE,low Memory management options,5,0
7,DUK_USE_ROM_STRINGS,FALSE,low_memory.yaml,TRUE,low Memory management options,6,0
8,DUK_USE_ROM_OBJECTS,FALSE,low_memory.yaml,TRUE,low Memory management options,7,0
9,DUK_USE_ROM_GLOBAL_INHERIT,FALSE,low_memory.yaml,TRUE,low Memory management options,8,0
10,DUK_USE_HSTRING_ARRIDX,TRUE,low_memory.yaml,FALSE,low Memory management options,9,1
11,DUK_USE_REFERENCE_COUNTING,TRUE,low_memory.yaml (comented out ),FALSE,Garbage collection options,10,1
12,DUK_USE_PARANOID_ERRORS,FALSE,low_memory.yaml,TRUE,ECMAScript Edition 5 (ES5) options,11,0
13,DUK_USE_FUNC_NAME_PROPERTY,TRUE,low_memory_strip.yaml,FALSE,ECMAScript Edition 5 (ES5) options,12,1
14,DUK_USE_DOUBLE_LINKED_HEAP,TRUE,low_memory.yaml (comented out ),FALSE,ECMAScript Edition 5 (ES5) options,13,1
15,DUK_USE_ARRAY_BUILTIN,TRUE,low_memory_strip.yaml,FALSE,ECMAScript Edition 5 (ES5) options,14,1
16,DUK_USE_AUGMENT_ERROR_CREATE,TRUE,low_memory.yaml,FALSE,ECMAScript Edition 5 (ES5) options,15,1
17,DUK_USE_AUGMENT_ERROR_THROW,TRUE,low_memory.yaml,FALSE,ECMAScript Edition 5 (ES5) options,16,1
18,DUK_USE_BOOLEAN_BUILTIN,TRUE,low_memory_strip.yaml,FALSE,ECMAScript Edition 5 (ES5) options,17,1
19,DUK_USE_DATE_BUILTIN,TRUE,low_memory_strip.yaml,FALSE,ECMAScript Edition 5 (ES5) options,18,1
20,DUK_USE_ERRCREATE,TRUE,low_memory.yaml,FALSE,ECMAScript Edition 5 (ES5) options,19,1
21,DUK_USE_ERRTHROW,TRUE,low_memory.yaml,FALSE,ECMAScript Edition 5 (ES5) options,20,1
22,DUK_USE_FUNCTION_BUILTIN,TRUE,low_memory_strip.yaml,FALSE,ECMAScript Edition 5 (ES5) options,21,1
23,DUK_USE_FUNC_FILENAME_PROPERTY,TRUE,low_memory.yaml,FALSE,ECMAScript Edition 5 (ES5) options,22,1
24,DUK_USE_GLOBAL_BUILTIN,TRUE,low_memory_strip.yaml,FALSE,ECMAScript Edition 5 (ES5) options,23,1
25,DUK_USE_JC,TRUE,low_memory.yaml,FALSE,ECMAScript Edition 5 (ES5) options,24,1
26,DUK_USE_JSON_BUILTIN,TRUE,low_memory_strip.yaml,FALSE,ECMAScript Edition 5 (ES5) options,25,1
27,DUK_USE_JSON_SUPPORT,TRUE,low_memory_strip.yaml,FALSE,ECMAScript Edition 5 (ES5) options,26,1
28,DUK_USE_JX,TRUE,low_memory.yaml,FALSE,ECMAScript Edition 5 (ES5) options,27,1
29,DUK_USE_MATH_BUILTIN,TRUE,low_memory_strip.yaml,FALSE,ECMAScript Edition 5 (ES5) options,28,1
30,DUK_USE_NUMBER_BUILTIN,TRUE,low_memory_strip.yaml,FALSE,ECMAScript Edition 5 (ES5) options,29,1
31,DUK_USE_OBJECT_BUILTIN,TRUE,low_memory_strip.yaml,FALSE,ECMAScript Edition 5 (ES5) options,30,1
32,DUK_USE_REGEXP_SUPPORT,TRUE,low_memory_strip.yaml,FALSE,ECMAScript Edition 5 (ES5) options,31,1
33,DUK_USE_SOURCE_NONBMP,TRUE,low_memory.yaml,FALSE,ECMAScript Edition 5 (ES5) options,32,1
34,DUK_USE_STRING_BUILTIN,TRUE,low_memory_strip.yaml,FALSE,ECMAScript Edition 5 (ES5) options,33,1
35,DUK_USE_TRACEBACKS,TRUE,low_memory.yaml,FALSE,ECMAScript Edition 5 (ES5) options,34,1
36,DUK_USE_VERBOSE_ERRORS,TRUE,low_memory.yaml,FALSE,ECMAScript Edition 5 (ES5) options,35,1
37,DUK_USE_PC2LINE,TRUE,low_memory_strip.yaml,FALSE,ECMAScript Edition 5 (ES5) options,36,1
38,DUK_USE_VERBOSE_EXECUTOR_ERRORS,TRUE,low_memory.yaml,FALSE,ECMAScript Edition 5 (ES5) options,37,1
39,DUK_USE_BYTECODE_DUMP_SUPPORT,TRUE,low_memory.yaml,FALSE,API options,38,1
40,DUK_USE_BASE64_SUPPORT,TRUE,low_memory.yaml,FALSE,Codecs,39,1
41,DUK_USE_HEX_SUPPORT,TRUE,low_memory.yaml,FALSE,Codecs,40,1
42,DUK_USE_DUKTAPE_BUILTIN,TRUE,low_memory_strip.yaml,FALSE,Duktape specific options,41,1
43,DUK_USE_BUFFEROBJECT_SUPPORT,TRUE,low_memory.yaml,FALSE,ECMAScript 2015 (ES6) options,42,1
44,DUK_USE_ES6,TRUE,low_memory.yaml,FALSE,ECMAScript 2015 (ES6) options,43,1
45,DUK_USE_ES6_PROXY,TRUE,low_memory.yaml,FALSE,ECMAScript 2015 (ES6) options,44,1
46,DUK_USE_ES6_UNICODE_ESCAPE,TRUE,low_memory.yaml,FALSE,ECMAScript 2015 (ES6) options,45,1
47,DUK_USE_HTML_COMMENTS,TRUE,low_memory.yaml,FALSE,ECMAScript 2015 (ES6) options,46,1
48,DUK_USE_SHEBANG_COMMENTS,TRUE,low_memory.yaml,FALSE,ECMAScript 2015 (ES6) options,47,1
49,DUK_USE_REFLECT_BUILTIN,TRUE,low_memory.yaml,FALSE,ECMAScript 2015 (ES6) options,48,1
50,DUK_USE_SYMBOL_BUILTIN,TRUE,low_memory.yaml,FALSE,ECMAScript 2015 (ES6) options,49,1
51,DUK_USE_ES7,TRUE,low_memory.yaml,FALSE,ECMAScript 2016 (ES7) options,50,1
52,DUK_USE_ES7_EXP_OPERATOR,TRUE,low_memory.yaml,FALSE,ECMAScript 2016 (ES7) options,51,1
