"JS test","delta_CS","delta_MU","delta_et","NDA","file size improvement","mem us improvement","et improvement","nb_devices’","nb_devices"
"3d-cube",-5.67,-55.51,-31.71,1,-0.056736392262708,-0.555064385931193,-0.317073170731707,4,3
"3d-morph",-12.56,-67.26,-34.78,1,-0.125562303193882,-0.672606060606061,-0.347826086956522,4,3
"3d-raytrace",-28.19,-15.89,-8.00,0,-0.281882591093117,-0.158912810360472,-0.08,3,3
"access-binary-trees",-7.64,-49.63,-31.91,1,-0.07643106162843,-0.496299598751672,-0.319148936170213,4,3
"access-fannkuch",-30.13,-53.94,-36.70,1,-0.301296108861898,-0.539426091150229,-0.367021276595744,4,3
"access-nbody",-30.67,-50.93,-37.35,1,-0.306729363472784,-0.50926127696666,-0.373493975903614,4,3
"access-nsieve",-30.94,-68.45,-35.71,1,-0.309393274853801,-0.684499146965635,-0.357142857142857,4,3
"bitops-3bit-bits-in-byte",24.72,-82.61,-27.27,1,0.247244714349977,-0.826114093121957,-0.272727272727273,4,3
"bitops-bits-in-byte",-33.62,-69.53,-76.34,1,-0.336179993252362,-0.69525706460849,-0.763440860215054,4,3
"bitops-bitwise-and",-34.57,-75.94,-34.12,0,-0.345711032388664,-0.759386098427195,-0.341176470588235,4,4
"bitops-nsieve-bits",-31.21,-66.62,-34.19,1,-0.312099358974359,-0.666156295933366,-0.341935483870968,4,3
"controlflow-recursive",-33.89,-63.58,-19.05,1,-0.338914192532614,-0.635777354570637,-0.19047619047619,4,3
"crypto-aes",-28.97,4.56,-26.60,1,-0.289670490328385,0.045629762438368,-0.26595744680851,4,3
"crypto-md5",-31.59,-35.54,-60.56,1,-0.315915991902834,-0.355446800797535,-0.605633802816901,4,3
"crypto-sha1",-24.58,-51.31,-41.18,1,-0.245796783625731,-0.513097223584813,-0.411764705882353,4,3
"date-format-tofte",-31.03,-92.93,-55.14,2,-0.310257816014395,-0.929284613691394,-0.551401869158879,4,2
"date-format-xparb",-30.59,-25.78,-37.31,1,-0.305928081421502,-0.257768300113151,-0.373134328358209,4,3
"math-cordic",-35.57,-61.37,-43.16,1,-0.355713000449843,-0.613657957244656,-0.431578947368421,4,3
"math-partial-sums",-36.58,-62.58,-49.49,1,-0.365841486729644,-0.625815585374861,-0.494949494949495,4,3
"math-spectral-norm",-9.06,-63.18,-42.11,1,-0.09060110211426,-0.6318358291736,-0.421052631578947,4,3
"string-base64",-32.10,-22.80,-24.14,0,-0.321047008547009,-0.227956115400244,-0.241379310344828,3,3
"string-fasta",-28.62,-50.11,-37.14,1,-0.28621232568601,-0.501142334932602,-0.371428571428571,4,3
"string-validate-input",-29.53,-11.34,-12.43,2,-0.29530055105713,-0.113425684824497,-0.124301675977654,4,2
"Total Median",-30.59,-55.51,-35.71,1,,,,,
